Device,Diff_costo_energia,Diff_prezzo_medio_carico,Diff_kw_caricati,Diff_SOC_medio_output,Score
CL_Battery.0,29.313664883884865,1.3229800358972614,-28.365960846983622,-16.30309988518945,-7.016207906195472
CL_Battery.1,25.99015211278715,4.215796658896704,-22.732720735117862,-13.065442020665897,-2.7961069920499515
CL_Battery.2,15.899388223159638,2.1367590527980247,-14.063124250898925,-8.082663605051694,-2.054820289996478
CL_Battery.3,12.239830114736348,-0.8029115328934069,-12.944466640031976,-7.439724454649836,-4.473636256419435
CL_Battery.4,5.137104370431219,1.76175930458807,-3.43587694766279,-1.9747416762342125,0.744122525561143
CL_Battery.5,2.071812634360419,0.6427835524135269,-1.4382740711146467,-0.8266360505166473,0.22484303257132598
CL_Battery.6,0.4277223654333234,0.26834296945966085,-0.15980823012381967,-0.09184845005741148,0.22220432735587656
CL_Battery.7,0.40060059608227955,0.2411777879127447,-0.15980823012384807,-0.09184845005741148,0.19506085190688233
CL_Battery.8,0.258597185821359,0.09894708127688899,-0.15980823012381967,-0.09184845005741148,0.052943793458508415
NSL_Battery.0,0.0,0.0,0.0,0.0,0.0
Naif_Battery.0,13.902403655459405,5.894199279307808,-8.509788254095087,-4.890929965556825,3.197942357557652
Naif_Battery.1,16.260437860277936,6.035248400908113,-10.881941669996007,-6.25430539609644,2.579719597546802
Naif_Battery.2,18.616458361274468,6.170886816338082,-13.264083100279672,-7.623421354764625,1.9499203612841267
