MCP,Date
0.01515,1
0.01296,2
0.01209,3
0.0117,4
0.01166,5
0.01135,6
0.00985,7
0.02051,8
0.02697,9
0.02654,10
0.02759,11
0.02843,12
0.02868,13
0.02882,14
0.02906,15
0.02939,16
0.03139,17
0.03288,18
0.03222,19
0.03063,20
0.02934,21
0.02919,22
0.02872,23
0.0159,24
0.00766,25
0.00702,26
0.00192,27
-5E-05,28
6E-05,29
0.00706,30
0.02933,31
0.02986,32
0.03044,33
0.03063,34
0.03086,35
0.03104,36
0.03097,37
0.03104,38
0.03111,39
0.03141,40
0.03198,41
0.03227,42
0.03192,43
0.03145,44
0.03094,45
0.03078,46
0.03042,47
0.02991,48
0.02808,49
0.02561,50
0.01902,51
0.01315,52
0.01601,53
0.02777,54
0.02914,55
0.03078,56
0.03119,57
0.03118,58
0.03095,59
0.03091,60
0.03074,61
0.03063,62
0.03046,63
0.03043,64
0.03084,65
0.03102,66
0.03078,67
0.03033,68
0.02966,69
0.02872,70
0.0261,71
0.01167,72
0.01007,73
0.00984,74
0.00793,75
0.00523,76
0.00518,77
0.00896,78
0.00872,79
0.01798,80
0.02785,81
0.02871,82
0.02891,83
0.02907,84
0.0292,85
0.0292,86
0.02935,87
0.02968,88
0.03031,89
0.03066,90
0.03045,91
0.02993,92
0.02881,93
0.02856,94
0.02831,95
0.02224,96
0.01992,97
0.01473,98
0.01335,99
0.01096,100
0.02537,101
0.0271,102
0.02772,103
0.02803,104
0.02815,105
0.02854,106
0.02993,107
0.0325,108
0.03171,109
0.03006,110
0.02931,111
0.0297,112
0.03134,113
0.03408,114
0.03239,115
0.03144,116
0.03054,117
0.0294,118
0.02881,119
0.02208,120
0.01384,121
0.01189,122
0.00985,123
0.00509,124
0.00398,125
0.02703,126
0.02827,127
0.02837,128
0.0286,129
0.02871,130
0.0288,131
0.02881,132
0.0288,133
0.02886,134
0.02883,135
0.02900,136
0.03019,137
0.03065,138
0.03022,139
0.02948,140
0.02900,141
0.02834,142
0.02602,143
0.01155,144
0.00926,145
0.00759,146
7E-05,147
8E-05,148
0.00205,149
0.00652,150
0.02847,151
0.03004,152
0.03085,153
0.03017,154
0.02999,155
0.03017,156
0.02983,157
0.03001,158
0.03005,159
0.03027,160
0.03093,161
0.03104,162
0.03043,163
0.02982,164
0.02939,165
0.02859,166
0.02814,167
0.02006,168
0.02201,169
0.01461,170
0.01267,171
0.01134,172
0.01137,173
0.02339,174
0.02933,175
0.03053,176
0.03095,177
0.03081,178
0.03053,179
0.0305,180
0.03013,181
0.0303,182
0.03047,183
0.03059,184
0.03093,185
0.03134,186
0.03084,187
0.03028,188
0.02972,189
0.02941,190
0.02891,191
0.02849,192
0.02718,193
0.0265,194
0.02483,195
0.02666,196
0.02718,197
0.02814,198
0.02998,199
0.0315,200
0.0324,201
0.03225,202
0.03231,203
0.03196,204
0.0304,205
0.03029,206
0.02986,207
0.03011,208
0.03057,209
0.0312,210
0.03059,211
0.02997,212
0.02929,213
0.02855,214
0.02823,215
0.00826,216
0.0083,217
0.00899,218
0.00774,219
0.00891,220
0.00823,221
0.01198,222
0.02957,223
0.03132,224
0.03213,225
0.03123,226
0.0308,227
0.03063,228
0.03017,229
0.03023,230
0.03058,231
0.03137,232
0.03197,233
0.03258,234
0.03200,235
0.03132,236
0.03082,237
0.03023,238
0.02985,239
0.02928,240
0.02922,241
0.02817,242
0.02721,243
0.02709,244
0.02676,245
0.02791,246
0.02801,247
0.02959,248
0.02997,249
0.0303,250
0.03062,251
0.03075,252
0.03059,253
0.03059,254
0.03037,255
0.0305,256
0.03078,257
0.03238,258
0.03125,259
0.03146,260
0.03008,261
0.02946,262
0.01593,263
0.01112,264
0.00181,265
0.00214,266
4E-05,267
0.00011,268
0.00678,269
0.00673,270
0.0009,271
0.00898,272
0.01177,273
0.01301,274
0.01348,275
0.01991,276
0.02141,277
0.02974,278
0.02983,279
0.03007,280
0.03172,281
0.03905,282
0.03873,283
0.03786,284
0.03516,285
0.03285,286
0.03304,287
0.03139,288
0.03014,289
0.02928,290
0.02875,291
0.0285,292
0.02899,293
0.02963,294
0.03306,295
0.04223,296
0.04792,297
0.03992,298
0.0373,299
0.03994,300
0.03988,301
0.0418,302
0.04229,303
0.04423,304
0.05654,305
0.0629,306
0.06169,307
0.05301,308
0.03952,309
0.03909,310
0.03512,311
0.03234,312
0.03039,313
0.02965,314
0.02956,315
0.02915,316
0.02937,317
0.03034,318
0.03594,319
0.06009,320
0.06594,321
0.06606,322
0.06695,323
0.06589,324
0.05857,325
0.05501,326
0.05254,327
0.05186,328
0.05588,329
0.07068,330
0.06800,331
0.05078,332
0.03864,333
0.03487,334
0.03261,335
0.03100,336
0.03155,337
0.03065,338
0.02992,339
0.02963,340
0.02954,341
0.03065,342
0.03768,343
0.05433,344
0.06265,345
0.05668,346
0.05039,347
0.04312,348
0.04148,349
0.04217,350
0.0443,351
0.04583,352
0.05085,353
0.05513,354
0.04175,355
0.03753,356
0.03492,357
0.03342,358
0.03175,359
0.03007,360
0.03005,361
0.02893,362
0.0256,363
0.02142,364
0.02554,365
0.02973,366
0.03208,367
0.03351,368
0.03414,369
0.03368,370
0.03336,371
0.03306,372
0.03292,373
0.03284,374
0.03283,375
0.03281,376
0.03342,377
0.03378,378
0.03287,379
0.0326,380
0.03224,381
0.03143,382
0.03091,383
0.02998,384
0.02953,385
0.02817,386
0.01958,387
0.02043,388
0.02754,389
0.03013,390
0.03278,391
0.0344,392
0.03649,393
0.03578,394
0.03489,395
0.03461,396
0.03396,397
0.03363,398
0.03329,399
0.0332,400
0.03377,401
0.03424,402
0.03345,403
0.03272,404
0.03222,405
0.03164,406
0.03139,407
0.03044,408
0.0305,409
0.02979,410
0.02858,411
0.02679,412
0.02857,413
0.02837,414
0.02855,415
0.03025,416
0.03097,417
0.03139,418
0.03184,419
0.03166,420
0.03128,421
0.03089,422
0.03068,423
0.03088,424
0.03206,425
0.0324,426
0.03235,427
0.03194,428
0.03081,429
0.03047,430
0.03018,431
0.01907,432
0.01588,433
0.01004,434
0.01006,435
0.00948,436
0.01001,437
0.00949,438
0.00852,439
0.00966,440
0.03044,441
0.03049,442
0.03076,443
0.0309,444
0.03078,445
0.03067,446
0.0306,447
0.03064,448
0.03112,449
0.03248,450
0.03247,451
0.03214,452
0.03148,453
0.0312,454
0.03082,455
0.03031,456
0.03001,457
0.02527,458
0.02072,459
0.01395,460
0.01314,461
0.03015,462
0.03191,463
0.03307,464
0.03422,465
0.0342,466
0.03381,467
0.0336,468
0.0334,469
0.0333,470
0.03329,471
0.0336,472
0.0354,473
0.03774,474
0.03544,475
0.03384,476
0.03298,477
0.03241,478
0.03197,479
0.03091,480
0.03145,481
0.03112,482
0.03065,483
0.03029,484
0.03064,485
0.03215,486
0.03357,487
0.04431,488
0.06146,489
0.05579,490
0.05203,491
0.0504,492
0.04498,493
0.04164,494
0.05008,495
0.04959,496
0.05279,497
0.06023,498
0.05514,499
0.04093,500
0.03597,501
0.03418,502
0.03286,503
0.03147,504
0.03194,505
0.0315,506
0.03113,507
0.03102,508
0.03113,509
0.03265,510
0.03447,511
0.05426,512
0.06489,513
0.05251,514
0.04721,515
0.04473,516
0.04141,517
0.04047,518
0.04201,519
0.04483,520
0.06015,521
0.06987,522
0.05015,523
0.04528,524
0.03784,525
0.03573,526
0.03298,527
0.03172,528
0.03206,529
0.03155,530
0.03119,531
0.0311,532
0.03178,533
0.03255,534
0.03415,535
0.04734,536
0.05451,537
0.05128,538
0.0449,539
0.04291,540
0.03987,541
0.03795,542
0.03789,543
0.03978,544
0.04507,545
0.05334,546
0.04154,547
0.0363,548
0.03486,549
0.03422,550
0.03321,551
0.03188,552
0.03208,553
0.03158,554
0.03033,555
0.02999,556
0.0311,557
0.03217,558
0.0352,559
0.04623,560
0.06100,561
0.05771,562
0.04972,563
0.04623,564
0.04288,565
0.03908,566
0.03691,567
0.03614,568
0.03908,569
0.04700,570
0.04067,571
0.03598,572
0.03439,573
0.03372,574
0.03316,575
0.03251,576
0.03264,577
0.03205,578
0.0311,579
0.03067,580
0.03056,581
0.03066,582
0.03094,583
0.03158,584
0.0324,585
0.03316,586
0.03348,587
0.03346,588
0.03325,589
0.03306,590
0.03266,591
0.03269,592
0.03328,593
0.03396,594
0.03372,595
0.03326,596
0.03257,597
0.03192,598
0.03204,599
0.03148,600
0.03056,601
0.01914,602
0.01485,603
0.01314,604
0.01439,605
0.01598,606
0.01432,607
0.0308,608
0.03129,609
0.03202,610
0.03289,611
0.03307,612
0.03298,613
0.03211,614
0.03189,615
0.03217,616
0.03314,617
0.03418,618
0.03385,619
0.0332,620
0.03264,621
0.03199,622
0.03132,623
0.03066,624
0.01263,625
0.01203,626
0.01281,627
0.00998,628
0.0098,629
0.01309,630
0.03205,631
0.03393,632
0.0344,633
0.03412,634
0.03399,635
0.03399,636
0.03394,637
0.0339,638
0.03388,639
0.03392,640
0.03427,641
0.03517,642
0.03474,643
0.03400,644
0.03333,645
0.03311,646
0.03208,647
0.03094,648
0.03125,649
0.03104,650
