Device,Diff_costo_energia,Diff_prezzo_medio_carico,Diff_kw_caricati,Diff_SOC_medio_output,Score
CL_Battery.0,23.611517166614323,4.780690970137283,-19.7762684778266,-11.36624569460392,-19.2355697105941
CL_Battery.1,12.870751733471486,1.6308036034637416,-11.426288453855376,-6.567164179104483,-11.494451038980841
CL_Battery.2,12.060509951523256,2.3891159240189648,-9.908110267678765,-5.694603903559119,-9.592246161881866
CL_Battery.3,0.6482375259965738,0.4095068192108405,-0.23971234518575787,-0.1377726750861172,-0.09043914717601731
CL_Battery.4,0.8983778043014673,0.26081208048515186,-0.6392329204954065,-0.3673938002296347,-0.5734633996227092
CL_Battery.5,0.572281006953087,0.41313299736038656,-0.15980823012383386,-0.09184845005741148,-0.004242543282301586
CL_Battery.6,1.1951996932684794,1.0370487524013914,-0.15980823012381967,-0.09184845005741148,0.24512434498898916
CL_Battery.7,0.3003499240045512,0.1407666505736044,-0.15980823012383386,-0.09184845005741148,-0.11310202922936516
CL_Battery.8,0.5088671712967395,0.34961765896592367,-0.15980823012380546,-0.09184845005741148,-0.029628378092440982
NSL_Battery.0,0.0,0.0,0.0,0.0,0.0
Naif_Battery.0,13.902403655459405,5.894199279307808,-8.509788254095087,-4.890929965556825,-6.761253988768086
Naif_Battery.1,16.260437860277936,6.035248400908113,-10.881941669996007,-6.25430539609644,-9.249860400636747
Naif_Battery.2,18.616458361274468,6.170886816338082,-13.264083100279672,-7.623421354764625,-11.75253452851293
