timestamp,predictions01,predictions02,predictions03,predictions04,predictions05,predictions06,predictions07,predictions08,predictions09,predictions10,predictions11,predictions12,reals01,reals02,reals03,reals04,reals05,reals06,reals07,reals08,reals09,reals10,reals11,reals12
2014-09-29 00:00:00,0.031165754,0.030533485,0.028982485,0.027992498,0.030309336,0.032870475,0.034950707,0.03783557,0.040103137,0.039914433,0.03860027,0.037056193,0.02394,0.02906,0.029339999999999995,0.02260999999999999,0.025370000000000007,0.044950000000000004,0.05396999999999999,0.057540000000000015,0.05201,0.0456,0.04502000000000001,0.04003000000000001
2014-09-29 01:00:00,0.026214782,0.025252588,0.025301294,0.026983712,0.030819649,0.033961263,0.036789823,0.03907556,0.03930674,0.03765245,0.036022503,0.034308907,0.02906,0.029339999999999995,0.02260999999999999,0.025370000000000007,0.044950000000000004,0.05396999999999999,0.057540000000000015,0.05201,0.0456,0.04502000000000001,0.04003000000000001,0.038329999999999996
2014-09-29 02:00:00,0.023757601,0.023939708,0.026059976,0.029029403,0.03290758,0.036342513,0.038403075,0.038649064,0.037380103,0.035581928,0.033813927,0.03216237,0.029339999999999995,0.02260999999999999,0.025370000000000007,0.044950000000000004,0.05396999999999999,0.057540000000000015,0.05201,0.0456,0.04502000000000001,0.04003000000000001,0.038329999999999996,0.035650000000000015
2014-09-29 03:00:00,0.027564056,0.029203119,0.031877507,0.03475669,0.0381724,0.040268447,0.039797217,0.03828269,0.03661685,0.034775116,0.033187594,0.03296245,0.02260999999999999,0.025370000000000007,0.044950000000000004,0.05396999999999999,0.057540000000000015,0.05201,0.0456,0.04502000000000001,0.04003000000000001,0.038329999999999996,0.035650000000000015,0.04003000000000001
2014-09-29 04:00:00,0.030143373,0.032628328,0.035287697,0.03813604,0.04042908,0.04038568,0.03838019,0.036691673,0.034873456,0.033192057,0.033164766,0.03348821,0.025370000000000007,0.044950000000000004,0.05396999999999999,0.057540000000000015,0.05201,0.0456,0.04502000000000001,0.04003000000000001,0.038329999999999996,0.035650000000000015,0.04003000000000001,0.04496
2014-09-29 05:00:00,0.02787286,0.030891953,0.033969615,0.036332335,0.03725629,0.036338564,0.03449587,0.03281798,0.031256415,0.031040864,0.03163695,0.032400496,0.044950000000000004,0.05396999999999999,0.057540000000000015,0.05201,0.0456,0.04502000000000001,0.04003000000000001,0.038329999999999996,0.035650000000000015,0.04003000000000001,0.04496,0.049929999999999995
2014-09-29 06:00:00,0.03175785,0.034707956,0.036600944,0.03712957,0.036378276,0.0350947,0.03292164,0.031056376,0.030979067,0.031278007,0.031933628,0.034448855,0.05396999999999999,0.057540000000000015,0.05201,0.0456,0.04502000000000001,0.04003000000000001,0.038329999999999996,0.035650000000000015,0.04003000000000001,0.04496,0.049929999999999995,0.05399000000000001
2014-09-29 07:00:00,0.04593704,0.04682673,0.045928214,0.043754116,0.041192986,0.038585965,0.035756484,0.034922753,0.035547014,0.03611909,0.038041815,0.04097786,0.057540000000000015,0.05201,0.0456,0.04502000000000001,0.04003000000000001,0.038329999999999996,0.035650000000000015,0.04003000000000001,0.04496,0.049929999999999995,0.05399000000000001,0.06324
2014-09-29 08:00:00,0.050753873,0.049884114,0.04731792,0.043921255,0.041129943,0.038559128,0.037248973,0.03732553,0.038432587,0.040401336,0.04272584,0.042645935,0.05201,0.0456,0.04502000000000001,0.04003000000000001,0.038329999999999996,0.035650000000000015,0.04003000000000001,0.04496,0.049929999999999995,0.05399000000000001,0.06324,0.05341
2014-09-29 09:00:00,0.052917454,0.050367374,0.046792462,0.042933796,0.040484786,0.039414607,0.039197106,0.039843414,0.042113673,0.04422118,0.04364627,0.041094042,0.0456,0.04502000000000001,0.04003000000000001,0.038329999999999996,0.035650000000000015,0.04003000000000001,0.04496,0.049929999999999995,0.05399000000000001,0.06324,0.05341,0.044950000000000004
2014-09-29 10:00:00,0.04948011,0.046020325,0.04249799,0.039509937,0.039389126,0.03974688,0.040389825,0.042316522,0.04463731,0.04327224,0.040485468,0.03831146,0.04502000000000001,0.04003000000000001,0.038329999999999996,0.035650000000000015,0.04003000000000001,0.04496,0.049929999999999995,0.05399000000000001,0.06324,0.05341,0.044950000000000004,0.03709
2014-09-29 11:00:00,0.04451491,0.04125567,0.03866588,0.037993465,0.03956047,0.040509116,0.042514764,0.04429245,0.043684795,0.04015052,0.037968792,0.034466725,0.04003000000000001,0.038329999999999996,0.035650000000000015,0.04003000000000001,0.04496,0.049929999999999995,0.05399000000000001,0.06324,0.05341,0.044950000000000004,0.03709,0.03273
2014-09-29 12:00:00,0.041718148,0.03919253,0.03868604,0.039384346,0.041330375,0.04312626,0.04489273,0.043857343,0.041249726,0.038612068,0.035084333,0.030703131,0.038329999999999996,0.035650000000000015,0.04003000000000001,0.04496,0.049929999999999995,0.05399000000000001,0.06324,0.05341,0.044950000000000004,0.03709,0.03273,0.03269
2014-09-29 13:00:00,0.038006466,0.03768005,0.038734637,0.040200293,0.043256138,0.04512931,0.043985017,0.041372012,0.039310906,0.035522725,0.03167717,0.029252525,0.035650000000000015,0.04003000000000001,0.04496,0.049929999999999995,0.05399000000000001,0.06324,0.05341,0.044950000000000004,0.03709,0.03273,0.03269,0.03224
2014-09-29 14:00:00,0.03812022,0.039089423,0.04045349,0.042975996,0.045539584,0.04433546,0.04136599,0.039681174,0.03643663,0.032172114,0.030611001,0.029853132,0.04003000000000001,0.04496,0.049929999999999995,0.05399000000000001,0.06324,0.05341,0.044950000000000004,0.03709,0.03273,0.03269,0.03224,0.031549999999999995
