Device,Diff_costo_energia,Diff_prezzo_medio_carico,Diff_kw_caricati,Diff_SOC_medio_output,Score
CL_Battery.0,24.960108559713465,2.1235808884641867,-23.332001598082314,-13.409873708381179,14.318576497249424
CL_Battery.1,32.030589101432824,-2.132187244754532,-33.47982421094686,-19.242250287026405,13.374306585747979
CL_Battery.2,32.788169772159,1.734105689085272,-31.6020775069916,-18.163030998851887,17.664798667826727
CL_Battery.3,34.053151923155276,4.696904886638405,-30.80303635637233,-17.703788748564865,21.29868042684751
CL_Battery.4,19.44564711815314,1.9798029833433484,-17.81861765880944,-10.241102181400674,11.528416113155167
CL_Battery.5,22.847256576607545,2.909342992080805,-20.535357570914886,-11.80252583237658,14.137702974292388
CL_Battery.6,6.092527388317563,0.6129370202785952,-5.513383939272858,-3.168771526980494,3.6279404336262555
CL_Battery.7,3.0600126542315267,0.4346375353063182,-2.63683579704355,-1.5154994259471886,1.9652531070321282
CL_Battery.8,3.3643186469363227,2.112865064055704,-1.2784658409907987,-0.7347876004592471,3.9790962805036116
NSL_Battery.0,0.0,0.0,0.0,0.0,0.0
Naif_Battery.0,13.902403655459405,5.894199279307808,-8.509788254095087,-4.890929965556825,13.15713870388339
Naif_Battery.1,16.260437860277936,6.035248400908113,-10.881941669996007,-6.25430539609644,14.409299595730351
Naif_Battery.2,18.616458361274468,6.170886816338082,-13.264083100279672,-7.623421354764625,15.652375251081184
