timestamp,E,U,time
2014-09-18 12:00:00,8.129999999999999,0.11453462365083389,0:00:00.099910
2014-09-18 13:00:00,12.559999999999999,0.1816621580719943,0:00:00.130604
2014-09-18 14:00:00,0.0,0.0,0:00:00.116321
2014-09-18 15:00:00,10.799999999999999,0.16381613016128518,0:00:00.149138
2014-09-18 16:00:00,0.0,0.0,0:00:00.131302
2014-09-18 17:00:00,0.0,0.0,0:00:00.097835
2014-09-18 18:00:00,0.0,0.0,0:00:00.179798
2014-09-18 19:00:00,0.0,0.0,0:00:00.229152
2014-09-18 20:00:00,0.0,0.0,0:00:00.113458
2014-09-18 21:00:00,0.0,0.0,0:00:00.111254
2014-09-18 22:00:00,0.0,0.0,0:00:00.133962
2014-09-18 23:00:00,0.0,0.0,0:00:00.122887
2014-09-19 00:00:00,0.0,0.0,0:00:00.132809
2014-09-19 01:00:00,0.0,0.0,0:00:00.127183
2014-09-19 02:00:00,0.0,0.0,0:00:00.193725
2014-09-19 03:00:00,0.0,0.0,0:00:00.117823
2014-09-19 04:00:00,0.0,0.0,0:00:00.179966
2014-09-19 05:00:00,0.0,0.0,0:00:00.148766
2014-09-19 06:00:00,0.0,0.0,0:00:00.150196
2014-09-19 07:00:00,0.0,0.0,0:00:00.139830
2014-09-19 08:00:00,0.0,0.0,0:00:00.171878
2014-09-19 09:00:00,0.0,0.0,0:00:00.092917
2014-09-19 10:00:00,0.0,0.0,0:00:00.124241
2014-09-19 11:00:00,0.0,0.0,0:00:00.131264
2014-09-19 12:00:00,0.0,0.0,0:00:00.137220
2014-09-19 13:00:00,0.0,0.0,0:00:00.127498
2014-09-19 14:00:00,0.0,0.0,0:00:00.128649
2014-09-19 15:00:00,0.0,0.0,0:00:00.074102
2014-09-19 16:00:00,0.0,0.0,0:00:00.137980
2014-09-19 17:00:00,0.0,0.0,0:00:00.140736
2014-09-19 18:00:00,3.8400000000000003,0.08104613542556756,0:00:00.107492
2014-09-19 19:00:00,3.6,0.0834177196025847,0:00:00.099609
2014-09-19 20:00:00,3.6,0.0833030149340628,0:00:00.142569
2014-09-19 21:00:00,0.2400000000000002,0.005532057434320445,0:00:00.135991
2014-09-19 22:00:00,0.0,0.0,0:00:00.110683
2014-09-19 23:00:00,0.0,0.0,0:00:00.133124
2014-09-20 00:00:00,0.0,0.0,0:00:00.134655
2014-09-20 01:00:00,0.0,0.0,0:00:00.147821
2014-09-20 02:00:00,0.0,0.0,0:00:00.127300
2014-09-20 03:00:00,0.0,0.0,0:00:00.084060
2014-09-20 04:00:00,0.0,0.0,0:00:00.162000
2014-09-20 05:00:00,0.0,0.0,0:00:00.183875
2014-09-20 06:00:00,0.0,0.0,0:00:00.096221
2014-09-20 07:00:00,0.0,0.0,0:00:00.157008
2014-09-20 08:00:00,0.0,0.0,0:00:00.129942
2014-09-20 09:00:00,0.0,0.0,0:00:00.146119
2014-09-20 10:00:00,0.0,0.0,0:00:00.096102
2014-09-20 11:00:00,3.6,0.05596854910254468,0:00:00.105984
2014-09-20 12:00:00,13.76,0.19806046843528707,0:00:00.157128
2014-09-20 13:00:00,0.0,0.0,0:00:00.113387
2014-09-20 14:00:00,0.0,0.0,0:00:00.114831
2014-09-20 15:00:00,0.0,0.0,0:00:00.113573
2014-09-20 16:00:00,0.0,0.0,0:00:00.129212
2014-09-20 17:00:00,0.0,0.0,0:00:00.098749
2014-09-20 18:00:00,0.0,0.0,0:00:00.111596
2014-09-20 19:00:00,0.0,0.0,0:00:00.091566
2014-09-20 20:00:00,0.0,0.0,0:00:00.153660
2014-09-20 21:00:00,0.0,0.0,0:00:00.135875
2014-09-20 22:00:00,0.0,0.0,0:00:00.138166
2014-09-20 23:00:00,0.0,0.0,0:00:00.105019
2014-09-21 00:00:00,0.0,0.0,0:00:00.147610
2014-09-21 01:00:00,0.0,0.0,0:00:00.151141
2014-09-21 02:00:00,0.0,0.0,0:00:00.126489
2014-09-21 03:00:00,0.0,0.0,0:00:00.112944
2014-09-21 04:00:00,0.0,0.0,0:00:00.148532
